행정동코드,시도명,시군구명,읍면동명,생성일자,말소일자
1100000000,서울특별시,,,19880423,
1111000000,서울특별시,종로구,,19880423,
1111051000,서울특별시,종로구,청운동,19880423,20081101
1111051500,서울특별시,종로구,청운효자동,20081101,
1111052000,서울특별시,종로구,효자동,19880423,20081101
1111053000,서울특별시,종로구,사직동,19880423,
1111054000,서울특별시,종로구,삼청동,19880423,
1111055000,서울특별시,종로구,부암동,19880423,
1111056000,서울특별시,종로구,평창동,19880423,
1111057000,서울특별시,종로구,무악동,19880423,
1111058000,서울특별시,종로구,교남동,19880423,
1111059000,서울특별시,종로구,세종로동,19880423,19981201
1111060000,서울특별시,종로구,가회동,19880423,
1111061000,서울특별시,종로구,종로1.2가동,19880423,19981201
1111061500,서울특별시,종로구,종로1.2.3.4가동,19981201,
1111062000,서울특별시,종로구,종로3.4가동,19880423,19981201
1111063000,서울특별시,종로구,종로5.6가동,19880423,
1111064000,서울특별시,종로구,이화동,19880423,
1111065000,서울특별시,종로구,혜화동,19880423,
1111066000,서울특별시,종로구,명륜3가동,19880423,20120801
1111067000,서울특별시,종로구,창신제1동,19880423,
1111068000,서울특별시,종로구,창신제2동,19880423,
1111069000,서울특별시,종로구,창신제3동,19880423,
1111070000,서울특별시,종로구,숭인제1동,19880423,
1111071000,서울특별시,종로구,숭인제2동,19880423,
1114000000,서울특별시,중구,,19880423,
1114051000,서울특별시,중구,태평로1가동,19920416,19980914
1114052000,서울특별시,중구,소공동,19880423,
1114053000,서울특별시,중구,남대문로5가동,19920416,19980914
1114054000,서울특별시,중구,회현동,19980914,
1114055000,서울특별시,중구,명동,19980914,
1114056000,서울특별시,중구,충무로4.5가동,19880423,19980914
1114057000,서울특별시,중구,필동,19880423,
1114058000,서울특별시,중구,장충동,19880423,
1114059000,서울특별시,중구,광희동,19980914,
1114060000,서울특별시,중구,을지로3.4.5가동,19880423,20050315
1114060500,서울특별시,중구,을지로동,20050315,
1114061000,서울특별시,중구,신당제1동,19880423,20130720
1114061500,서울특별시,중구,신당동,20130720,
1114062000,서울특별시,중구,신당제2동,19880423,20130720
1114062500,서울특별시,중구,다산동,20130720,
1114063000,서울특별시,중구,신당제3동,19880423,20130720
1114063500,서울특별시,중구,약수동,20130720,
1114064000,서울특별시,중구,신당제4동,19880423,20130720
1114064500,서울특별시,중구,청구동,20130720,
1114065000,서울특별시,중구,신당제5동,19880423,
1114066000,서울특별시,중구,신당제6동,19880423,20130720
1114066500,서울특별시,중구,동화동,20130720,
1114067000,서울특별시,중구,황학동,19880423,
1114068000,서울특별시,중구,중림동,19880423,
1117000000,서울특별시,용산구,,19880423,
1117051000,서울특별시,용산구,후암동,19880423,
1117052000,서울특별시,용산구,용산2가동,19880423,
1117053000,서울특별시,용산구,남영동,19880423,
1117054000,서울특별시,용산구,청파제1동,19880423,20080630
1117055000,서울특별시,용산구,청파제2동,19880423,20080630
1117055500,서울특별시,용산구,청파동,20080630,
1117056000,서울특별시,용산구,원효로제1동,19880423,
1117057000,서울특별시,용산구,원효로제2동,19880423,
1117058000,서울특별시,용산구,효창동,19880423,
1117059000,서울특별시,용산구,용문동,19880423,
1117060000,서울특별시,용산구,한강로제1동,19880423,20080630
1117061000,서울특별시,용산구,한강로제2동,19880423,20080630
1117062000,서울특별시,용산구,한강로제3동,19880423,20080630
1117062500,서울특별시,용산구,한강로동,20080630,
1117063000,서울특별시,용산구,이촌제1동,19880423,
1117064000,서울특별시,용산구,이촌제2동,19880423,
1117065000,서울특별시,용산구,이태원제1동,19880423,
1117066000,서울특별시,용산구,이태원제2동,19880423,
1117067000,서울특별시,용산구,한남제1동,19880423,20080630
1117068000,서울특별시,용산구,한남제2동,19880423,20080630
1117068500,서울특별시,용산구,한남동,20080630,
1117069000,서울특별시,용산구,서빙고동,19880423,
1117070000,서울특별시,용산구,보광동,19880423,
1120000000,서울특별시,성동구,,19880423,
1120050100,서울특별시,성동구,옥수동,19880423,19880831
1120051000,서울특별시,성동구,왕십리제1동,19880423,20080811
1120052000,서울특별시,성동구,왕십리제2동,19880423,
1120053000,서울특별시,성동구,도선동,19880423,20080811
1120053500,서울특별시,성동구,왕십리도선동,20080811,
1120054000,서울특별시,성동구,마장동,19880423,
1120055000,서울특별시,성동구,사근동,19880423,
1120056000,서울특별시,성동구,행당제1동,19880423,
1120057000,서울특별시,성동구,행당제2동,19880423,
1120058000,서울특별시,성동구,응봉동,19880423,
1120059000,서울특별시,성동구,금호1가동,19880423,
1120060000,서울특별시,성동구,금호2가동,19880423,20080811
1120061000,서울특별시,성동구,금호3가동,19880423,20080811
1120061500,서울특별시,성동구,금호2.3가동,20080811,
1120062000,서울특별시,성동구,금호4가동,19880423,
1120063000,서울특별시,성동구,옥수제1동,19880423,20080811
1120064000,서울특별시,성동구,옥수제2동,19880423,20080811
1120064500,서울특별시,성동구,옥수동,20080811,
1120065000,서울특별시,성동구,성수1가제1동,19880423,
1120066000,서울특별시,성동구,성수1가제2동,19880423,
1120067000,서울특별시,성동구,성수2가제1동,19880423,
1120068000,서울특별시,성동구,성수2가제2동,19880423,19950301
1120069000,서울특별시,성동구,성수2가제3동,19880423,
1120070000,서울특별시,성동구,성수2가제4동,19880423,19950301
1120071000,서울특별시,성동구,화양동,19880423,19950301
1120072000,서울특별시,성동구,송정동,19880423,
1120073000,서울특별시,성동구,군자동,19880423,19950301
1120074000,서울특별시,성동구,중곡제1동,19880423,19950301
1120075000,서울특별시,성동구,중곡제2동,19880423,19950301
1120076000,서울특별시,성동구,중곡제3동,19880423,19950301
1120077000,서울특별시,성동구,중곡제4동,19880423,19950301
1120078000,서울특별시,성동구,능동,19880423,19890427
1120079000,서울특별시,성동구,용답동,19880423,
1120080000,서울특별시,성동구,구의동,19880423,19880430
1120081000,서울특별시,성동구,광장동,19880423,19890427
1120082000,서울특별시,성동구,자양제1동,19880423,19950301
1120083000,서울특별시,성동구,자양제2동,19880423,19950301
1120084000,서울특별시,성동구,자양제3동,19880423,19950301
1120085000,서울특별시,성동구,구의제1동,19880501,19950301
1120086000,서울특별시,성동구,구의제2동,19880501,19950301
1120087000,서울특별시,성동구,구의제3동,19920701,19950301
1121500000,서울특별시,광진구,,19950301,
1121571000,서울특별시,광진구,화양동,19950301,
1121573000,서울특별시,광진구,군자동,19950301,
1121574000,서울특별시,광진구,중곡제1동,19950301,
1121575000,서울특별시,광진구,중곡제2동,19950301,
1121576000,서울특별시,광진구,중곡제3동,19950301,
1121577000,서울특별시,광진구,중곡제4동,19950301,
